"Table 080-0020 Retail trade, sales by the North American Industry Classification System (NAICS), monthly (dollars x 1,000)(2,3,4,5,6)"
Survey or program details:
Retail Trade Survey (Monthly) - 2406
Monthly Retail Trade Survey (Department Store Organizations) - 2408
Geography,Canada,Canada
North American Industry Classification System (NAICS),Retail trade [44-45] ,Retail trade [44-45] 
Adjustments,Unadjusted,Seasonally adjusted
Jan-1991,12588862,15026890
Feb-1991,12154321,15304585
Mar-1991,14337072,15413591
Apr-1991,15108570,15293409
May-1991,17225734,15676083
Jun-1991,16342833,15507931
Jul-1991,15996243,15556313
Aug-1991,16064910,15430645
Sep-1991,15015317,15427313
Oct-1991,15606864,15410250
Nov-1991,16237366,15662790
Dec-1991,18381340,15349625
Jan-1992,13084963,15477875
Feb-1992,12773972,15513022
Mar-1992,14198775,15527933
Apr-1992,15558390,15708556
May-1992,16776396,15642000
Jun-1992,16716231,15823989
Jul-1992,16637483,15869453
Aug-1992,15842075,15844631
Sep-1992,15812400,15983239
Oct-1992,16562268,16125835
Nov-1992,16015869,16049478
Dec-1992,19682921,16095727
Jan-1993,13672727,16408864
Feb-1993,12900733,16239039
Mar-1993,15211859,16314960
Apr-1993,16642246,16577426
May-1993,17442405,16472045
Jun-1993,17444074,16351907
Jul-1993,17610326,16712914
Aug-1993,16645660,16703413
Sep-1993,16790330,16755338
Oct-1993,16921755,16819382
Nov-1993,17124609,16958202
Dec-1993,20928208,17021436
Jan-1994,14005058,17076164
Feb-1994,13799079,17393150
Mar-1994,16865149,17890903
Apr-1994,17494589,17507688
May-1994,18739509,17775079
Jun-1994,19323481,17882069
Jul-1994,18297834,17785800
Aug-1994,18101290,17881976
Sep-1994,18161417,17952647
Oct-1994,17998875,18193703
Nov-1994,18516766,18264676
Dec-1994,22688647,18387840
Jan-1995,14927996,18337565
Feb-1995,14520623,18259470
Mar-1995,17457477,18225708
Apr-1995,17774107,18217661
May-1995,19740889,18333051
Jun-1995,20319460,18503481
Jul-1995,18747299,18407254
Aug-1995,19280525,18720783
Sep-1995,18860566,18628735
Oct-1995,18177152,18412692
Nov-1995,18962903,18506305
Dec-1995,22308880,18525162
Jan-1996,15379086,18531426
Feb-1996,15521981,18657652
Mar-1996,17613469,18774049
Apr-1996,18421405,18739023
May-1996,20624568,18758009
Jun-1996,20099348,18977805
Jul-1996,19423284,18914063
Aug-1996,19889359,19071178
Sep-1996,18589571,19019991
Oct-1996,19686383,19488074
Nov-1996,20293165,19820074
Dec-1996,22897980,19688254
Jan-1997,16882321,19857365
Feb-1997,16033605,20141489
Mar-1997,18225453,20056949
Apr-1997,20432272,20215340
May-1997,22594727,20386953
Jun-1997,21577744,20466883
Jul-1997,21570145,20681230
Aug-1997,21065784,20605349
Sep-1997,20532806,20646564
Oct-1997,21491163,21037021
Nov-1997,20904746,20973561
Dec-1997,25507180,21749250
