YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1992,164083,164260,163747,164759,165617,166098,167305,167797,169407,170681,171025,172995
1993,175078,173770,172328,176766,178445,178201,180759,180692,181800,182910,184746,186339
1994,185128,188077,191588,191632,190940,193196,193763,196157,197754,199579,199723,200670
1995,201583,198383,200230,201048,202993,205507,204959,206529,206978,206157,208661,210434
1996,208731,212011,213855,214644,216304,216059,216374,216355,219240,221039,220989,221898
1997,223524,225409,226136,224588,222906,226048,228738,229317,230284,229822,230486,231197
1998,231605,231664,233043,235976,237055,238958,237423,236412,238542,242531,244307,246577
1999,246891,249510,250657,252418,254738,255472,257441,260253,261352,261825,264883,269876
2000,268091,272020,275214,271004,271418,273440,272638,272943,277523,276973,275923,275736
2001,278916,278799,276468,280804,281540,280399,279522,281423,276095,294613,286960,283708
2002,283577,285061,284263,288820,284994,287401,290427,292582,288434,289634,291475,293819
2003,295294,291178,296347,295643,296395,299662,302788,307745,305916,304824,308551,307362
2004,309225,311427,316935,313531,318962,314971,318532,318945,324607,326680,327837,331877
2005,329187,332847,332517,337608,334551,344034,346715,342950,343711,344390,347047,347441
2006,357626,354614,356357,357320,356423,357763,359217,360497,358468,358435,359256,364300
2007,363462,364090,367714,366065,370887,367933,369472,370982,373138,375048,378371,375349
2008,375303,371661,371961,373877,375790,376584,374774,372091,366167,352900,339942,332065
2009,336977,335765,330219,331314,334290,339532,340286,346705,338356,341590,344911,346258
2010,346349,346972,354625,357086,354430,353830,354536,356560,359440,363855,367352,369299
2011,372041,375003,378472,380284,380398,383081,382966,383541,387313,390302,391478,391695
2012,395280,400181,401830,400095,399463,395723,397516,401937,405707,405598,407327,409468
2013,412207,416783,412514,413391,414207,415989,417962,417101,417682,419686,421056,422891
2014,419195,424657,429707,433082,434161,435587,435429,438598,437932,439829,441445,437996
2015,435881,433579,440463,440355,444400,444747,447112,447738,447641,446489,448724,450831
2016,446757,448895,447757,453397,454135,457409,457849,457722,462284,465321,466028,470616
2017,473104,471865,470844,,,,,,,,,
