sqft,bdrms,age,price
2104,3,70,399900
1600,3,28,329900
2400,3,44,369000
1416,2,49,232000
3000,4,75,539900
1985,4,61,299900
1534,3,12,314900
1427,3,57,198999
1380,3,14,212000
1494,3,15,242500
1940,4,7,239999
2000,3,27,347000
1890,3,45,329999
4478,5,49,699900
1268,3,58,259900
2300,4,77,449900
1320,2,62,299900
1236,3,78,199900
2609,4,5,499998
3031,4,21,599000
1767,3,44,252900
1888,2,79,255000
1604,3,13,242900
1962,4,53,259900
3890,3,36,573900
1100,3,60,249900
1458,3,29,464500
2526,3,13,469000
2200,3,28,475000
2637,3,25,299900
1839,2,40,349900
1000,1,5,169900
2040,4,75,314900
3137,3,67,579900
1811,4,24,285900
1437,3,50,249900
1239,3,22,229900
2132,4,28,345000
4215,4,66,549000
2162,4,43,287000
1664,2,40,368500
2238,3,37,329900
2567,4,57,314000
1200,3,76,299000
852,2,70,179900
1852,4,64,299900
1203,3,11,239500
